wavenumber,intensity
170.0000,334.9658
171.0000,335.1360
172.0000,322.2722
173.0000,290.3082
174.0000,257.4427
175.0000,244.4104
176.0000,237.5378
177.0000,232.0509
178.0000,221.9855
179.0000,196.9123
180.0000,165.4520
181.0000,129.8261
182.0000,98.8024
183.0000,82.9956
184.0000,79.0865
185.0000,90.4462
186.0000,107.6196
187.0000,122.4492
188.0000,134.4130
189.0000,137.9414
190.0000,140.0206
191.0000,149.6307
192.0000,155.2206
193.0000,142.0445
194.0000,128.6663
195.0000,131.1704
196.0000,142.2498
197.0000,166.8982
198.0000,184.2979
199.0000,167.0462
200.0000,139.8927
201.0000,120.8528
202.0000,102.7257
203.0000,82.8224
204.0000,65.6234
205.0000,53.4260
206.0000,50.0912
207.0000,65.3033
208.0000,83.8898
209.0000,92.1829
210.0000,95.3538
211.0000,92.9474
212.0000,88.1748
213.0000,83.6029
214.0000,80.7094
215.0000,81.5494
216.0000,86.9576
217.0000,99.6083
218.0000,116.0378
219.0000,134.2642
220.0000,152.5169
221.0000,167.9230
222.0000,181.8085
223.0000,194.4603
224.0000,206.1220
225.0000,217.9344
226.0000,227.4924
227.0000,226.7781
228.0000,233.7710
229.0000,269.5086
230.0000,316.7993
231.0000,370.9011
232.0000,415.5026
233.0000,426.1052
234.0000,422.5275
235.0000,416.2459
236.0000,407.7880
237.0000,402.4142
238.0000,397.4034
239.0000,391.7375
240.0000,385.5674
241.0000,377.8452
242.0000,371.1505
243.0000,368.0041
244.0000,367.5349
245.0000,370.5296
246.0000,374.5371
247.0000,377.3720
248.0000,379.0250
249.0000,378.4328
250.0000,376.5713
251.0000,373.9583
252.0000,370.9044
253.0000,364.8002
254.0000,364.9220
255.0000,383.5024
256.0000,409.0632
257.0000,437.4121
258.0000,458.9226
259.0000,458.7063
260.0000,448.3563
261.0000,432.2479
262.0000,417.1467
263.0000,412.5658
264.0000,414.6375
265.0000,424.5745
266.0000,436.6478
267.0000,445.3998
268.0000,451.2288
269.0000,449.9210
270.0000,449.8546
271.0000,457.9446
272.0000,474.3662
273.0000,503.4714
274.0000,539.6456
275.0000,580.6608
276.0000,620.7098
277.0000,653.2100
278.0000,678.2591
279.0000,691.7161
280.0000,699.7156
281.0000,707.8930
282.0000,713.6049
283.0000,717.5774
284.0000,715.3377
285.0000,701.4340
286.0000,679.5290
287.0000,647.4506
288.0000,617.2507
289.0000,602.7095
290.0000,596.4719
291.0000,598.1620
292.0000,600.6230
293.0000,595.6657
294.0000,586.0112
295.0000,570.0486
296.0000,552.5856
297.0000,540.8192
298.0000,525.9700
299.0000,498.6397
300.0000,467.8817
301.0000,436.7403
302.0000,413.8451
303.0000,413.9825
304.0000,421.7259
305.0000,426.9058
306.0000,428.5374
307.0000,420.4166
308.0000,408.0311
309.0000,393.2444
310.0000,380.7251
311.0000,376.2433
312.0000,378.3583
313.0000,390.1422
314.0000,403.8277
315.0000,412.6722
316.0000,416.6730
317.0000,412.4375
318.0000,403.3928
319.0000,390.1360
320.0000,377.7647
321.0000,370.0179
322.0000,371.5681
323.0000,392.4330
324.0000,420.3162
325.0000,447.7616
326.0000,470.2658
327.0000,479.5645
328.0000,479.4841
329.0000,469.6768
330.0000,454.4008
331.0000,436.6944
332.0000,419.8690
333.0000,406.6556
334.0000,401.8336
335.0000,412.9513
336.0000,434.4337
337.0000,467.1734
338.0000,499.3159
339.0000,516.9492
340.0000,527.1384
341.0000,531.3402
342.0000,532.4692
343.0000,534.4290
344.0000,535.7098
345.0000,536.5084
346.0000,535.6094
347.0000,530.9057
348.0000,525.2690
349.0000,521.8566
350.0000,517.7048
351.0000,510.4594
352.0000,501.4497
353.0000,490.1376
354.0000,479.7712
355.0000,473.7840
356.0000,471.0815
357.0000,474.0700
358.0000,475.6811
359.0000,467.1886
360.0000,455.9715
361.0000,446.7903
362.0000,438.7736
363.0000,435.7270
364.0000,428.3807
365.0000,404.9526
366.0000,376.7853
367.0000,349.4237
368.0000,328.4786
369.0000,324.0956
370.0000,328.2152
371.0000,339.2138
372.0000,347.9291
373.0000,342.3682
374.0000,329.4002
