wavenumber,intensity
964.0560,457.0000
966.5800,449.0000
969.1030,442.0000
971.6250,445.0000
974.1450,448.0000
976.6630,456.0000
979.1800,439.0000
981.6960,442.0000
984.2100,497.0000
986.7220,487.0000
989.2330,449.0000
991.7430,438.0000
994.2510,440.0000
996.7570,459.0000
999.2620,447.0000
1001.7700,455.0000
1004.2700,467.0000
1006.7700,465.0000
1009.2700,451.0000
1011.7700,434.0000
1014.2600,434.0000
1016.7600,431.0000
1019.2500,431.0000
1021.7400,447.0000
1024.2300,437.0000
1026.7200,426.0000
1029.2100,460.0000
1031.6900,472.0000
1034.1800,448.0000
1036.6600,442.0000
1039.1400,447.0000
1041.6200,446.0000
1044.1000,445.0000
1046.5800,432.0000
1049.0500,431.0000
1051.5200,435.0000
1054.0000,418.0000
1056.4700,406.0000
1058.9400,417.0000
1061.4000,427.0000
1063.8700,422.0000
1066.3400,424.0000
1068.8000,423.0000
1071.2600,424.0000
1073.7200,453.0000
1076.1800,437.0000
1078.6400,408.0000
1081.1000,417.0000
1083.5500,430.0000
1086.0000,428.0000
1088.4600,402.0000
1090.9100,410.0000
1093.3500,461.0000
1095.8000,459.0000
1098.2500,412.0000
1100.6900,421.0000
1103.1400,428.0000
1105.5800,405.0000
1108.0200,405.0000
1110.4600,424.0000
1112.8900,449.0000
1115.3300,460.0000
1117.7600,439.0000
1120.2000,418.0000
1122.6300,411.0000
1125.0600,411.0000
1127.4900,412.0000
1129.9100,410.0000
1132.3400,400.0000
1134.7600,404.0000
1137.1900,412.0000
1139.6100,412.0000
1142.0300,432.0000
1144.4400,433.0000
1146.8600,429.0000
1149.2800,426.0000
1151.6900,407.0000
1154.1000,395.0000
1156.5200,398.0000
1158.9200,419.0000
1161.3300,449.0000
1163.7400,432.0000
1166.1500,401.0000
1168.5500,412.0000
1170.9500,419.0000
1173.3500,425.0000
1175.7500,429.0000
1178.1500,424.0000
1180.5500,427.0000
1182.9400,420.0000
1185.3400,413.0000
1187.7300,430.0000
1190.1200,436.0000
1192.5100,432.0000
1194.9000,427.0000
1197.2900,415.0000
1199.6700,410.0000
1202.0500,413.0000
1204.4400,426.0000
1206.8200,452.0000
1209.2000,455.0000
1211.5800,481.0000
1213.9500,465.0000
1216.3300,432.0000
1218.7000,441.0000
1221.0800,412.0000
1223.4500,406.0000
1225.8200,425.0000
1228.1800,434.0000
1230.5500,446.0000
1232.9200,434.0000
1235.2800,437.0000
1237.6400,448.0000
1240.0100,436.0000
1242.3600,435.0000
1244.7200,425.0000
1247.0800,451.0000
1249.4400,442.0000
1251.7900,417.0000
1254.1400,426.0000
1256.4900,428.0000
1258.8400,453.0000
1261.1900,453.0000
1263.5400,414.0000
1265.8900,411.0000
1268.2300,421.0000
1270.5700,431.0000
1272.9200,437.0000
1275.2600,419.0000
1277.5900,443.0000
1279.9300,454.0000
1282.2700,418.0000
1284.6000,429.0000
1286.9400,456.0000
1289.2700,452.0000
1291.6000,431.0000
1293.9300,417.0000
1296.2600,428.0000
1298.5800,445.0000
1300.9100,446.0000
1303.2300,429.0000
