wavenumber,intensity
930.0000,295.9743
932.0000,294.6010
934.0000,270.8601
936.0000,232.9305
938.0000,235.1550
940.0000,273.5973
942.0000,255.1720
944.0000,260.6777
946.0000,286.1575
948.0000,300.0010
950.0000,304.8824
952.0000,274.0691
954.0000,257.3984
956.0000,246.6352
958.0000,206.4023
960.0000,190.8629
962.0000,172.4953
964.0000,156.2130
966.0000,146.7742
968.0000,110.5459
970.0000,86.9872
972.0000,100.8372
974.0000,146.8198
976.0000,187.9316
978.0000,170.3161
980.0000,173.4731
982.0000,202.5837
984.0000,210.8367
986.0000,237.5044
988.0000,259.1575
990.0000,272.6314
992.0000,300.3889
994.0000,346.4760
996.0000,369.5194
998.0000,399.2246
1000.0000,438.7387
1002.0000,454.7768
1004.0000,478.8673
1006.0000,492.4432
1008.0000,458.0665
1010.0000,394.8864
1012.0000,373.5338
1014.0000,310.9641
1016.0000,258.2914
1018.0000,251.0502
1020.0000,223.3684
1022.0000,254.8325
1024.0000,281.3390
1026.0000,284.3091
1028.0000,332.1372
1030.0000,405.3723
1032.0000,434.4215
1034.0000,466.2923
1036.0000,545.7675
1038.0000,594.5894
1040.0000,660.8832
1042.0000,677.7930
1044.0000,623.0361
1046.0000,581.5474
1048.0000,506.7557
1050.0000,396.1935
1052.0000,316.5428
1054.0000,313.3482
1056.0000,319.4109
1058.0000,294.6968
1060.0000,266.7093
1062.0000,267.6461
1064.0000,277.3798
1066.0000,276.7884
1068.0000,278.8033
1070.0000,284.8467
1072.0000,287.0745
1074.0000,323.8397
1076.0000,360.7549
1078.0000,388.5750
1080.0000,416.8910
1082.0000,421.5612
1084.0000,479.9793
1086.0000,528.9745
1088.0000,506.1446
1090.0000,490.1107
1092.0000,485.9106
1094.0000,502.8326
1096.0000,523.9298
1098.0000,517.3958
1100.0000,506.0748
1102.0000,478.8606
1104.0000,453.4925
1106.0000,449.0044
1108.0000,421.9736
1110.0000,341.7406
1112.0000,284.8827
1114.0000,287.6177
1116.0000,280.4053
1118.0000,291.6845
1120.0000,312.8829
1122.0000,324.2277
1124.0000,337.2592
1126.0000,379.5055
1128.0000,391.6863
1130.0000,385.1682
1132.0000,424.5093
1134.0000,511.7971
1136.0000,585.7498
1138.0000,692.6840
1140.0000,796.2244
1142.0000,769.1900
1144.0000,751.0659
1146.0000,693.3348
1148.0000,588.5472
1150.0000,519.0804
1152.0000,467.3240
1154.0000,443.1596
1156.0000,421.2105
1158.0000,384.1531
1160.0000,368.0053
1162.0000,352.1848
1164.0000,296.5598
1166.0000,246.5301
1168.0000,265.0811
1170.0000,217.1315
1172.0000,169.8435
1174.0000,144.3541
1176.0000,121.9896
1178.0000,207.2193
1180.0000,268.2380
1182.0000,329.7913
1184.0000,411.3008
1186.0000,363.3655
1188.0000,285.9855
1190.0000,239.4858
1192.0000,209.7358
1194.0000,176.9655
1196.0000,159.4616
1198.0000,103.1480
1200.0000,61.7835
1202.0000,92.8696
1204.0000,86.3654
1206.0000,106.0057
1208.0000,127.2448
1210.0000,129.9415
1212.0000,172.0102
1214.0000,153.2702
1216.0000,120.0025
1218.0000,128.9474
1220.0000,146.9809
1222.0000,132.8164
1224.0000,104.1583
1226.0000,97.3235
1228.0000,103.1078
1230.0000,64.1371
1232.0000,27.5546
1234.0000,33.9574
1236.0000,77.5391
1238.0000,115.1304
1240.0000,105.2315
1242.0000,120.8656
1244.0000,157.7985
1246.0000,156.1405
1248.0000,191.6607
1250.0000,229.5408
1252.0000,262.4977
1254.0000,317.7994
1256.0000,383.0462
1258.0000,417.7060
1260.0000,405.3108
1262.0000,390.8548
1264.0000,426.8553
1266.0000,453.2706
1268.0000,508.4027
1270.0000,562.0663
1272.0000,551.6287
1274.0000,556.5167
1276.0000,567.8795
1278.0000,580.8879
1280.0000,604.0855
1282.0000,637.0927
1284.0000,710.2517
1286.0000,770.3475
1288.0000,774.1343
1290.0000,759.9466
1292.0000,788.7134
1294.0000,847.9922
1296.0000,906.1706
1298.0000,948.2312
1300.0000,975.3080
1302.0000,1002.7842
1304.0000,1007.2091
1306.0000,1001.3331
1308.0000,1026.9341
1310.0000,956.2969
1312.0000,961.7302
1314.0000,1028.0311
1316.0000,957.2063
1318.0000,984.3776
1320.0000,994.6352
1322.0000,1005.5482
1324.0000,1077.9415
1326.0000,1030.0399
1328.0000,1104.0613
1330.0000,1187.1863
1332.0000,1206.2540
1334.0000,1401.9177
1336.0000,1589.3379
1338.0000,1741.7069
1340.0000,1851.1772
1342.0000,1803.7587
1344.0000,1529.1294
1346.0000,1242.9644
1348.0000,983.8819
1350.0000,684.7587
1352.0000,447.9324
1354.0000,313.8243
1356.0000,257.6165
1358.0000,199.4519
1360.0000,91.2362
1362.0000,57.3378
1364.0000,84.6229
1366.0000,82.8133
1368.0000,39.3712
1370.0000,70.3876
1372.0000,101.9250
1374.0000,84.4145
1376.0000,45.1477
1378.0000,24.2870
1380.0000,49.3715
1382.0000,73.5310
1384.0000,65.1212
1386.0000,48.4788
1388.0000,25.6593
1390.0000,19.8950
1392.0000,34.5959
1394.0000,53.1710
1396.0000,71.9953
1398.0000,77.0710
1400.0000,62.6632
1402.0000,42.8904
1404.0000,40.2917
1406.0000,50.1061
1408.0000,84.3770
1410.0000,118.2432
1412.0000,112.2366
1414.0000,117.7458
1416.0000,127.8437
1418.0000,116.9834
1420.0000,114.7188
1422.0000,197.9672
1424.0000,279.9476
1426.0000,326.2620
1428.0000,336.8459
1430.0000,310.8250
1432.0000,359.8202
1434.0000,420.2333
1436.0000,467.9483
1438.0000,557.8679
1440.0000,611.8303
1442.0000,667.5401
1444.0000,743.0273
1446.0000,830.1052
1448.0000,944.6601
1450.0000,998.2318
1452.0000,983.2328
1454.0000,928.0507
1456.0000,817.2248
1458.0000,643.8894
1460.0000,523.0000
1462.0000,458.0739
1464.0000,380.8825
1466.0000,378.3457
1468.0000,289.5779
1470.0000,193.1255
1472.0000,200.7077
1474.0000,150.6112
1476.0000,174.3684
1478.0000,188.1111
1480.0000,131.5399
1482.0000,127.0887
1484.0000,138.0013
1486.0000,105.6623
1488.0000,92.4715
1490.0000,157.1251
1492.0000,161.6752
1494.0000,142.2056
1496.0000,135.4765
1498.0000,149.5250
1500.0000,191.1994
1502.0000,193.1763
1504.0000,236.6245
1506.0000,339.5478
1508.0000,399.6599
1510.0000,456.4001
1512.0000,513.4849
1514.0000,680.9847
1516.0000,996.7328
1518.0000,1254.5298
1520.0000,1741.3739
1522.0000,2390.9263
1524.0000,2990.3877
1526.0000,3555.7734
1528.0000,3924.6143
1530.0000,3934.9722
1532.0000,3512.2378
1534.0000,2790.3394
1536.0000,2159.1628
1538.0000,1592.2615
1540.0000,1146.1604
1542.0000,862.4911
1544.0000,508.3769
1546.0000,373.4399
1548.0000,280.2902
1550.0000,94.5929
1552.0000,94.9262
1554.0000,56.2245
1556.0000,83.0411
1558.0000,136.2962
1560.0000,37.9435
1562.0000,51.8278
1564.0000,97.3635
1566.0000,112.9100
1568.0000,154.6648
1570.0000,235.3112
1572.0000,278.9921
1574.0000,313.1076
1576.0000,342.3940
1578.0000,334.8940
1580.0000,454.1452
1582.0000,493.4015
1584.0000,459.6129
1586.0000,543.5801
1588.0000,558.0637
1590.0000,557.3872
1592.0000,642.4813
1594.0000,757.8758
1596.0000,747.8668
1598.0000,760.2088
1600.0000,750.6293
1602.0000,691.8293
1604.0000,670.5433
1606.0000,569.7299
1608.0000,448.3114
1610.0000,371.9024
1612.0000,319.0611
1614.0000,255.8949
1616.0000,196.5521
1618.0000,152.1404
1620.0000,123.1342
1622.0000,104.1169
1624.0000,65.9289
1626.0000,36.8918
1628.0000,33.1493
1630.0000,28.1019
1632.0000,19.8312
1634.0000,25.7904
1636.0000,29.3509
1638.0000,10.0879
1640.0000,0.4473
1642.0000,11.1230
1644.0000,16.0656
1646.0000,12.7219
1648.0000,29.2606
1650.0000,13.3951
1652.0000,-2.4584
1654.0000,7.4464
1656.0000,15.1944
1658.0000,13.4717
1660.0000,13.9449
1662.0000,6.7423
1664.0000,9.0885
1666.0000,74.1623
1668.0000,69.3767
1670.0000,49.1545
1672.0000,69.0583
1674.0000,48.4360
1676.0000,55.4005
1678.0000,34.3097
1680.0000,39.3606
1682.0000,144.8442
1684.0000,132.1445
1686.0000,104.0933
1688.0000,108.6219
1690.0000,100.5051
1692.0000,109.1271
1694.0000,164.4597
1696.0000,214.9103
1698.0000,212.0837
1700.0000,206.9091
1702.0000,317.3114
1704.0000,412.1261
1706.0000,441.4356
1708.0000,482.9935
1710.0000,503.5362
1712.0000,501.2019
1714.0000,584.8346
1716.0000,717.3592
1718.0000,665.6468
1720.0000,650.7326
1722.0000,667.8239
1724.0000,636.3248
1726.0000,613.1982
1728.0000,657.5050
1730.0000,650.5482
1732.0000,612.8044
1734.0000,603.3169
1736.0000,491.3114
1738.0000,552.5780
1740.0000,568.5817
1742.0000,409.7819
1744.0000,461.7890
1746.0000,412.8901
1748.0000,367.3295
1750.0000,364.2285
1752.0000,279.7578
1754.0000,430.7905
1756.0000,424.4485
1758.0000,332.7187
1760.0000,433.9063
1762.0000,371.0271
1764.0000,388.9443
1766.0000,418.7772
1768.0000,359.7151
1770.0000,392.2525
1772.0000,379.5528
1774.0000,381.7637
1776.0000,397.6925
1778.0000,356.3749
