name,class,scan,1600.78,1605.52,1610.24,1614.97,1619.68,1624.39,1629.09,1634.95,1639.63,1644.31,1648.97,1653.63,1658.29,1662.93,1667.57,1672.20,1676.82,1681.44,1686.04,1690.64,1695.24,1699.82,1704.40,1708.97,1713.53,1718.09,1722.64,1727.18,1731.71,1736.24,1740.76,1745.27,1749.77,1754.27,1758.76,1763.24,1767.71,1772.18,1776.63,1781.09,1785.53,1789.97,1794.40,1798.82,1803.23,1807.64,1812.04,1817.52,1821.91,1826.28,1830.65,1835.01,1839.36,1843.71,1848.04,1852.37,1856.70,1861.01,1865.32,1869.62,1873.91,1878.20,1882.48,1886.75,1891.01,1895.27,1899.52,1903.76,1907.99,1912.22,1916.43,1920.64,1924.85,1929.04,1933.23,1937.41,1941.59,1945.75,1949.91,1954.06,1958.21,1962.34,1966.47,1970.59,1974.71,1978.82,1982.91,1988.03,1992.11,1996.19,2000.25,2004.31,2008.37,2012.41,2016.45,2020.48,2024.50,2028.52,2032.52,2036.53,2040.52,2044.50,2048.48,2052.45,2056.42,2060.37,2064.32,2068.26,2072.19,2076.12,2080.04,2083.95,2087.85,2091.75,2095.64,2099.52,2103.39,2107.26,2111.12,2114.97,2118.81,2122.65,2126.48,2130.30,2134.11,2137.92,2141.72,2146.46,2150.24,2154.02,2157.78,2161.54,2165.30,2169.04,2172.78,2176.51,2180.23,2183.95,2187.66,2191.36,2195.05,2198.74,2202.41,2206.09,2209.75,2213.40,2217.05,2220.69,2224.33,2227.95,2231.57,2235.18,2238.79,2242.38,2245.97,2249.55,2253.13,2256.69,2260.25,2263.80,2267.35,2270.88,2274.41,2277.93,2281.45,2284.96,2288.46,2292.82,2296.30,2299.78,2303.24,2306.70,2310.16,2313.60,2317.04,2320.47,2323.89,2327.31,2330.72,2334.12,2337.51,2340.90,2344.27,2347.65,2351.01,2354.36,2357.71,2361.05,2364.39,2367.71,2371.03,2374.34,2377.65,2380.94,2384.23,2387.51,2390.79,2394.05,2397.31,2400.56
aspartame,additive,103448,0.19013,0.18974,0.18976,0.19034,0.19194,0.19495,0.19858,0.20261,0.20507,0.20699,0.20958,0.21493,0.22479,0.23875,0.25437,0.26806,0.27639,0.27840,0.27448,0.26742,0.25890,0.25077,0.24442,0.24029,0.23862,0.23915,0.24111,0.24237,0.24109,0.23696,0.23266,0.22943,0.22754,0.22638,0.22599,0.22593,0.22580,0.22562,0.22479,0.22379,0.22257,0.22170,0.22184,0.22234,0.22344,0.22447,0.22500,0.22525,0.22502,0.22475,0.22430,0.22418,0.22419,0.22467,0.22443,0.22453,0.22502,0.22545,0.22628,0.22719,0.22881,0.23032,0.23146,0.23406,0.23671,0.24042,0.24374,0.24759,0.25137,0.25555,0.25957,0.26457,0.26954,0.27330,0.27701,0.28081,0.28291,0.28480,0.28610,0.28662,0.28636,0.28556,0.28509,0.28386,0.28338,0.28317,0.28344,0.28356,0.28399,0.28338,0.28239,0.28098,0.27990,0.27945,0.28005,0.28200,0.28614,0.29414,0.30581,0.31978,0.33121,0.33541,0.33139,0.32315,0.31596,0.31072,0.30724,0.30581,0.30565,0.30714,0.30968,0.31390,0.31827,0.32450,0.33083,0.33637,0.33951,0.34165,0.34291,0.34556,0.35050,0.35605,0.36139,0.36630,0.37078,0.37493,0.37803,0.37806,0.37907,0.38357,0.39235,0.40308,0.41042,0.41245,0.40955,0.40704,0.40821,0.41259,0.41711,0.41829,0.41575,0.41265,0.40926,0.40589,0.40223,0.40008,0.40036,0.40190,0.40601,0.41162,0.42141,0.43348,0.44721,0.45882,0.46544,0.46522,0.45894,0.45316,0.45230,0.45525,0.46008,0.46364,0.46366,0.46388,0.46505,0.46988,0.47644,0.48214,0.48338,0.48246,0.48152,0.48205,0.48338,0.48578,0.49075,0.49705,0.50218,0.50169,0.49941,0.49699,0.49804,0.50225,0.50706,0.50935,0.51104,0.51073,0.51288,0.51584,0.52267,0.53221,0.54232,0.55068,0.55175,0.54708,0.54030,0.53335,0.52787,0.52344,0.51832,0.51300
aspartame,additive,103502,0.19004,0.18973,0.18969,0.19030,0.19193,0.19496,0.19856,0.20258,0.20504,0.20697,0.20953,0.21492,0.22478,0.23867,0.25425,0.26803,0.27629,0.27834,0.27447,0.26739,0.25895,0.25073,0.24436,0.24029,0.23864,0.23910,0.24095,0.24234,0.24111,0.23703,0.23258,0.22932,0.22751,0.22627,0.22587,0.22569,0.22573,0.22539,0.22453,0.22364,0.22244,0.22164,0.22165,0.22206,0.22313,0.22423,0.22501,0.22517,0.22481,0.22447,0.22416,0.22413,0.22410,0.22429,0.22416,0.22437,0.22485,0.22523,0.22621,0.22711,0.22873,0.23019,0.23131,0.23381,0.23620,0.24015,0.24334,0.24702,0.25120,0.25511,0.25916,0.26392,0.26920,0.27302,0.27659,0.28077,0.28222,0.28442,0.28541,0.28620,0.28565,0.28514,0.28445,0.28324,0.28295,0.28272,0.28302,0.28332,0.28393,0.28293,0.28216,0.28083,0.27944,0.27926,0.27980,0.28164,0.28556,0.29383,0.30525,0.31943,0.33094,0.33531,0.33105,0.32329,0.31601,0.31078,0.30742,0.30588,0.30591,0.30715,0.30980,0.31342,0.31850,0.32456,0.33077,0.33628,0.33952,0.34160,0.34293,0.34563,0.35030,0.35610,0.36141,0.36626,0.37078,0.37496,0.37795,0.37794,0.37913,0.38347,0.39254,0.40301,0.41016,0.41239,0.40964,0.40696,0.40831,0.41284,0.41710,0.41807,0.41601,0.41263,0.40962,0.40592,0.40231,0.40033,0.40045,0.40196,0.40629,0.41185,0.42153,0.43356,0.44710,0.45826,0.46551,0.46502,0.45893,0.45325,0.45205,0.45545,0.46011,0.46377,0.46441,0.46402,0.46500,0.47010,0.47630,0.48229,0.48353,0.48240,0.48174,0.48211,0.48333,0.48597,0.49093,0.49720,0.50209,0.50140,0.49928,0.49718,0.49779,0.50209,0.50676,0.50946,0.51073,0.51076,0.51290,0.51585,0.52222,0.53205,0.54189,0.55019,0.55171,0.54701,0.54028,0.53348,0.52749,0.52320,0.51852,0.51329
aspartame,additive,103514,0.18995,0.18966,0.18970,0.19028,0.19191,0.19487,0.19852,0.20257,0.20500,0.20691,0.20957,0.21494,0.22477,0.23868,0.25424,0.26793,0.27633,0.27833,0.27445,0.26742,0.25893,0.25075,0.24446,0.24020,0.23864,0.23906,0.24092,0.24224,0.24105,0.23692,0.23247,0.22924,0.22726,0.22627,0.22584,0.22566,0.22570,0.22536,0.22458,0.22353,0.22233,0.22156,0.22162,0.22210,0.22308,0.22431,0.22490,0.22496,0.22467,0.22438,0.22395,0.22403,0.22402,0.22431,0.22425,0.22415,0.22468,0.22515,0.22593,0.22701,0.22841,0.23007,0.23130,0.23363,0.23606,0.23987,0.24324,0.24689,0.25068,0.25479,0.25888,0.26368,0.26867,0.27211,0.27618,0.27991,0.28187,0.28361,0.28509,0.28587,0.28515,0.28480,0.28396,0.28301,0.28228,0.28235,0.28265,0.28289,0.28342,0.28291,0.28187,0.28074,0.27934,0.27895,0.27965,0.28150,0.28556,0.29359,0.30521,0.31938,0.33085,0.33528,0.33118,0.32308,0.31615,0.31086,0.30747,0.30597,0.30597,0.30726,0.30976,0.31383,0.31843,0.32451,0.33066,0.33618,0.33958,0.34152,0.34286,0.34544,0.35055,0.35620,0.36134,0.36629,0.37051,0.37478,0.37779,0.37812,0.37918,0.38352,0.39249,0.40278,0.41015,0.41242,0.40988,0.40675,0.40828,0.41280,0.41720,0.41834,0.41581,0.41277,0.40942,0.40619,0.40272,0.40043,0.40079,0.40214,0.40640,0.41207,0.42167,0.43362,0.44707,0.45834,0.46554,0.46503,0.45912,0.45311,0.45219,0.45541,0.46019,0.46391,0.46412,0.46399,0.46536,0.47029,0.47633,0.48206,0.48345,0.48251,0.48199,0.48235,0.48340,0.48616,0.49068,0.49714,0.50237,0.50173,0.49927,0.49704,0.49764,0.50190,0.50655,0.50926,0.51073,0.51069,0.51286,0.51589,0.52240,0.53182,0.54196,0.55038,0.55173,0.54689,0.54028,0.53332,0.52775,0.52345,0.51858,0.51357
aspartame,additive,103526,0.18994,0.18965,0.18960,0.19029,0.19187,0.19491,0.19852,0.20249,0.20502,0.20688,0.20952,0.21494,0.22471,0.23862,0.25425,0.26797,0.27626,0.27826,0.27445,0.26741,0.25889,0.25067,0.24432,0.24030,0.23864,0.23902,0.24090,0.24222,0.24101,0.23687,0.23256,0.22916,0.22738,0.22630,0.22582,0.22562,0.22552,0.22528,0.22451,0.22354,0.22225,0.22152,0.22147,0.22198,0.22314,0.22413,0.22473,0.22498,0.22465,0.22449,0.22408,0.22393,0.22396,0.22428,0.22395,0.22426,0.22472,0.22494,0.22597,0.22671,0.22832,0.22989,0.23117,0.23346,0.23591,0.23957,0.24266,0.24636,0.25029,0.25437,0.25841,0.26288,0.26814,0.27182,0.27559,0.27967,0.28137,0.28336,0.28458,0.28544,0.28469,0.28436,0.28371,0.28272,0.28243,0.28212,0.28230,0.28274,0.28330,0.28253,0.28136,0.28010,0.27920,0.27884,0.27955,0.28145,0.28539,0.29335,0.30494,0.31912,0.33058,0.33503,0.33105,0.32317,0.31610,0.31079,0.30759,0.30601,0.30610,0.30736,0.30990,0.31364,0.31827,0.32450,0.33088,0.33611,0.33972,0.34158,0.34296,0.34543,0.35033,0.35617,0.36143,0.36623,0.37063,0.37498,0.37793,0.37808,0.37926,0.38348,0.39234,0.40283,0.41015,0.41241,0.40983,0.40727,0.40837,0.41288,0.41721,0.41835,0.41595,0.41298,0.40972,0.40604,0.40261,0.40068,0.40088,0.40228,0.40659,0.41200,0.42180,0.43376,0.44708,0.45854,0.46518,0.46503,0.45899,0.45344,0.45236,0.45553,0.46046,0.46413,0.46463,0.46427,0.46542,0.47032,0.47645,0.48207,0.48337,0.48225,0.48201,0.48213,0.48384,0.48605,0.49087,0.49717,0.50214,0.50159,0.49938,0.49723,0.49759,0.50215,0.50670,0.50930,0.51093,0.51066,0.51301,0.51574,0.52239,0.53190,0.54200,0.55009,0.55137,0.54687,0.54023,0.53316,0.52783,0.52320,0.51869,0.51340
aspartame,additive,103538,0.18988,0.18960,0.18957,0.19019,0.19188,0.19487,0.19851,0.20253,0.20495,0.20693,0.20954,0.21490,0.22475,0.23862,0.25423,0.26794,0.27629,0.27835,0.27447,0.26741,0.25897,0.25059,0.24432,0.24022,0.23869,0.23905,0.24078,0.24217,0.24095,0.23691,0.23247,0.22924,0.22739,0.22617,0.22575,0.22562,0.22563,0.22528,0.22445,0.22338,0.22220,0.22148,0.22145,0.22188,0.22304,0.22398,0.22462,0.22487,0.22457,0.22428,0.22422,0.22389,0.22387,0.22436,0.22405,0.22416,0.22491,0.22477,0.22597,0.22722,0.22822,0.22964,0.23081,0.23318,0.23556,0.23935,0.24248,0.24593,0.25011,0.25392,0.25823,0.26307,0.26798,0.27152,0.27529,0.27922,0.28119,0.28298,0.28437,0.28509,0.28465,0.28406,0.28348,0.28263,0.28189,0.28183,0.28202,0.28237,0.28303,0.28238,0.28159,0.27994,0.27904,0.27888,0.27941,0.28142,0.28514,0.29353,0.30477,0.31916,0.33043,0.33470,0.33115,0.32332,0.31614,0.31094,0.30748,0.30613,0.30603,0.30724,0.31006,0.31344,0.31844,0.32443,0.33069,0.33615,0.33958,0.34157,0.34312,0.34572,0.35030,0.35607,0.36144,0.36639,0.37055,0.37489,0.37801,0.37814,0.37938,0.38374,0.39228,0.40244,0.41016,0.41253,0.40992,0.40705,0.40827,0.41287,0.41717,0.41834,0.41610,0.41282,0.40986,0.40608,0.40256,0.40076,0.40109,0.40241,0.40660,0.41230,0.42176,0.43369,0.44698,0.45851,0.46532,0.46514,0.45880,0.45352,0.45209,0.45532,0.46042,0.46419,0.46458,0.46423,0.46537,0.47013,0.47634,0.48194,0.48340,0.48237,0.48191,0.48221,0.48321,0.48625,0.49088,0.49721,0.50213,0.50174,0.49945,0.49706,0.49786,0.50190,0.50650,0.50908,0.51091,0.51117,0.51276,0.51591,0.52211,0.53133,0.54198,0.55024,0.55104,0.54645,0.54043,0.53330,0.52760,0.52306,0.51869,0.51307
benzoic acid,additive,103742,0.37678,0.38692,0.39917,0.41533,0.43504,0.45630,0.47607,0.49711,0.51315,0.53513,0.57354,0.63046,0.68971,0.72657,0.73243,0.72271,0.70878,0.69015,0.66567,0.64023,0.61996,0.60616,0.59495,0.58469,0.57780,0.57490,0.57436,0.57487,0.57621,0.57921,0.58322,0.58651,0.58899,0.59127,0.59334,0.59441,0.59539,0.59698,0.60000,0.60463,0.60880,0.61321,0.61703,0.62081,0.62456,0.62826,0.63213,0.63795,0.64291,0.64730,0.65107,0.65429,0.65773,0.66077,0.66435,0.66856,0.67225,0.67531,0.67908,0.68283,0.68694,0.68920,0.69110,0.69315,0.69498,0.69823,0.69932,0.70108,0.70273,0.70312,0.70316,0.70298,0.70454,0.70331,0.70376,0.70453,0.70560,0.70683,0.70843,0.70995,0.71079,0.71160,0.71329,0.71479,0.71699,0.71987,0.72226,0.72360,0.72615,0.72852,0.73031,0.73132,0.73261,0.73383,0.73444,0.73501,0.73378,0.73373,0.73322,0.73346,0.73288,0.73175,0.73070,0.73025,0.73053,0.73138,0.73149,0.73290,0.73474,0.73795,0.74277,0.74857,0.75630,0.76387,0.77003,0.77475,0.77716,0.77968,0.78350,0.78993,0.80161,0.81953,0.84796,0.88582,0.92387,0.94414,0.94188,0.93044,0.93077,0.94057,0.94577,0.93553,0.91595,0.90002,0.89098,0.89160,0.89768,0.90277,0.90155,0.89502,0.88599,0.87942,0.87824,0.88228,0.88418,0.88472,0.88243,0.87945,0.87828,0.87621,0.87551,0.87558,0.87698,0.87845,0.88079,0.88452,0.88972,0.89971,0.91083,0.92188,0.93172,0.94248,0.95395,0.96580,0.97224,0.97552,0.97869,0.98017,0.97841,0.97473,0.97313,0.97288,0.97482,0.97461,0.97800,0.98235,0.98919,0.99607,1.00188,1.00746,1.01283,1.01797,1.02143,1.02523,1.02922,1.03257,1.03701,1.04236,1.05126,1.06139,1.07570,1.09043,1.10231,1.10516,1.10239,1.09034,1.07797,1.06860,1.06363,1.06259
benzoic acid,additive,103755,0.37737,0.38754,0.39981,0.41597,0.43566,0.45695,0.47673,0.49764,0.51388,0.53590,0.57408,0.63080,0.69009,0.72698,0.73284,0.72341,0.70930,0.69083,0.66653,0.64094,0.62069,0.60661,0.59544,0.58533,0.57813,0.57523,0.57461,0.57482,0.57644,0.57930,0.58305,0.58637,0.58911,0.59138,0.59304,0.59446,0.59525,0.59687,0.60034,0.60447,0.60889,0.61288,0.61720,0.62065,0.62451,0.62849,0.63200,0.63791,0.64228,0.64693,0.65052,0.65352,0.65676,0.66045,0.66356,0.66777,0.67151,0.67488,0.67834,0.68177,0.68591,0.68878,0.69003,0.69259,0.69447,0.69736,0.69885,0.69992,0.70125,0.70163,0.70256,0.70282,0.70312,0.70238,0.70338,0.70382,0.70432,0.70568,0.70722,0.70913,0.70850,0.70990,0.71209,0.71388,0.71588,0.71846,0.72030,0.72240,0.72473,0.72679,0.72847,0.73036,0.73174,0.73279,0.73349,0.73377,0.73282,0.73343,0.73283,0.73235,0.73130,0.73124,0.72981,0.72924,0.73005,0.73045,0.73081,0.73254,0.73423,0.73737,0.74231,0.74832,0.75548,0.76315,0.76948,0.77369,0.77651,0.77882,0.78326,0.78913,0.80087,0.81900,0.84717,0.88537,0.92273,0.94278,0.94102,0.92938,0.92995,0.93889,0.94399,0.93437,0.91552,0.89901,0.89043,0.89090,0.89696,0.90136,0.90090,0.89443,0.88492,0.87870,0.87692,0.88041,0.88344,0.88332,0.88182,0.87872,0.87743,0.87539,0.87538,0.87488,0.87638,0.87706,0.87959,0.88396,0.88943,0.89804,0.91015,0.92154,0.93092,0.94127,0.95343,0.96439,0.97144,0.97492,0.97717,0.97904,0.97709,0.97399,0.97194,0.97198,0.97255,0.97424,0.97677,0.98128,0.98816,0.99424,1.00207,1.00715,1.01144,1.01720,1.02005,1.02404,1.02835,1.03081,1.03552,1.04038,1.04942,1.06175,1.07352,1.08910,1.10167,1.10567,1.10189,1.09027,1.07701,1.06892,1.06352,1.06260
benzoic acid,additive,103807,0.37764,0.38785,0.40016,0.41626,0.43598,0.45728,0.47710,0.49791,0.51416,0.53626,0.57452,0.63104,0.69026,0.72723,0.73309,0.72363,0.70957,0.69099,0.66670,0.64118,0.62086,0.60695,0.59561,0.58541,0.57835,0.57547,0.57478,0.57489,0.57664,0.57929,0.58316,0.58639,0.58928,0.59124,0.59320,0.59439,0.59538,0.59716,0.59992,0.60469,0.60876,0.61291,0.61691,0.62062,0.62448,0.62846,0.63216,0.63772,0.64230,0.64675,0.65058,0.65378,0.65640,0.66030,0.66316,0.66744,0.67132,0.67453,0.67847,0.68169,0.68514,0.68842,0.68992,0.69215,0.69363,0.69626,0.69794,0.69982,0.70039,0.70182,0.70170,0.70182,0.70239,0.70236,0.70212,0.70352,0.70349,0.70574,0.70626,0.70846,0.70888,0.71016,0.71117,0.71331,0.71560,0.71779,0.72002,0.72197,0.72493,0.72683,0.72804,0.72996,0.73145,0.73214,0.73287,0.73314,0.73257,0.73279,0.73254,0.73239,0.73163,0.73087,0.72945,0.72957,0.72947,0.73012,0.73064,0.73183,0.73378,0.73738,0.74220,0.74801,0.75510,0.76250,0.76875,0.77367,0.77550,0.77897,0.78264,0.78878,0.80036,0.81917,0.84657,0.88495,0.92212,0.94219,0.94119,0.92861,0.93025,0.93822,0.94394,0.93464,0.91479,0.89874,0.89001,0.89058,0.89669,0.90125,0.90063,0.89384,0.88509,0.87798,0.87729,0.88102,0.88316,0.88327,0.88109,0.87851,0.87708,0.87487,0.87429,0.87459,0.87608,0.87677,0.87974,0.88314,0.88969,0.89795,0.90967,0.92126,0.93075,0.94118,0.95227,0.96351,0.96986,0.97425,0.97742,0.97840,0.97753,0.97332,0.97158,0.97115,0.97305,0.97431,0.97603,0.98044,0.98830,0.99389,1.00115,1.00611,1.01188,1.01597,1.01974,1.02350,1.02793,1.03053,1.03567,1.04050,1.04823,1.06034,1.07346,1.08941,1.10048,1.10556,1.10218,1.08989,1.07704,1.06696,1.06481,1.06118
benzoic acid,additive,103819,0.37796,0.38814,0.40040,0.41654,0.43631,0.45763,0.47730,0.49822,0.51446,0.53644,0.57472,0.63124,0.69022,0.72709,0.73309,0.72367,0.70973,0.69132,0.66704,0.64147,0.62131,0.60700,0.59576,0.58555,0.57859,0.57552,0.57487,0.57526,0.57658,0.57945,0.58309,0.58642,0.58922,0.59115,0.59319,0.59469,0.59527,0.59685,0.60010,0.60430,0.60884,0.61302,0.61732,0.62070,0.62440,0.62835,0.63203,0.63746,0.64227,0.64679,0.65067,0.65323,0.65653,0.65987,0.66337,0.66748,0.67088,0.67425,0.67790,0.68205,0.68504,0.68788,0.68961,0.69194,0.69397,0.69551,0.69745,0.69891,0.70073,0.70212,0.70164,0.70100,0.70197,0.70147,0.70171,0.70282,0.70296,0.70489,0.70578,0.70786,0.70803,0.70957,0.71113,0.71293,0.71544,0.71736,0.71940,0.72144,0.72419,0.72613,0.72768,0.72955,0.73039,0.73210,0.73214,0.73282,0.73169,0.73217,0.73185,0.73147,0.73082,0.73007,0.72965,0.72866,0.72923,0.72932,0.73062,0.73150,0.73354,0.73676,0.74133,0.74756,0.75477,0.76243,0.76858,0.77316,0.77508,0.77811,0.78190,0.78830,0.80017,0.81784,0.84619,0.88416,0.92155,0.94173,0.94082,0.92801,0.92988,0.93778,0.94267,0.93402,0.91517,0.89792,0.88941,0.88994,0.89647,0.90089,0.89983,0.89385,0.88410,0.87758,0.87643,0.88010,0.88303,0.88320,0.88035,0.87780,0.87620,0.87437,0.87396,0.87439,0.87583,0.87676,0.87915,0.88304,0.88903,0.89789,0.90871,0.91982,0.93035,0.94060,0.95268,0.96433,0.96984,0.97372,0.97647,0.97807,0.97658,0.97339,0.97190,0.97134,0.97159,0.97315,0.97578,0.98075,0.98693,0.99322,1.00044,1.00567,1.01040,1.01602,1.01976,1.02356,1.02832,1.03004,1.03433,1.03986,1.04827,1.06035,1.07325,1.08672,1.09996,1.10415,1.10148,1.08973,1.07689,1.06764,1.06402,1.06114
